UID,AGENSI,KATEGORI,HIERARKI,NAMA,UNIT,INDUK,ZON,DAERAH,PBT,ALAMAT,TELEFON,SRC_ID,X_CASS,Y_CASS,LATITUDE,LONGITUDE,GEOM_OK
PDRM-005,PDRM,IPD,DAERAH,IPD Hulu Selangor,PENGURUSAN,IPD Hulu Selangor,,,,"44000 Kuala Kubu Bharu, Selangor",03-60651021,5,-4697.358,42926.857,3.5621876,101.66037,True
PDRM-048,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kuala Kubu Bharu,PENGURUSAN,IPD Hulu Selangor,,,,,,48,-4697.358,42926.857,3.5621876,101.66037,True
PDRM-051,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Rasa,PENGURUSAN,IPD Hulu Selangor,,,,,,51,-7675.5,35979.141,3.4993651,101.633549,True
PDRM-049,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Batang Kali,PENGURUSAN,IPD Hulu Selangor,,,,,,49,-6997.897,32545.911,3.4683159,101.6396391,True
PDRM-053,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bukit Sentosa,PENGURUSAN,IPD Hulu Selangor,,,,,,53,-15568.434,25120.024,3.4011785,101.5624962,True
PDRM-082,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bestari Jaya,PENGURUSAN,IPD Kuala Selangor,,,,,,82,-32618.279,22454.408,3.3770878,101.4090659,True
PDRM-052,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Serendah,PENGURUSAN,IPD Hulu Selangor,,,,,,52,-10887.785,21401.36,3.3675409,101.6046095,True
PDRM-034,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Country Homes,PENGURUSAN,IPD Gombak,,,,,,34,-18433.611,17526.783,3.3325144,101.5367024,True
PDRM-029,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Rawang,PENGURUSAN,IPD Gombak,,,,,,29,-13990.706,16015.031,3.3188363,101.5766783,True
PDRM-086,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Simpang Tiga Ijok,PENGURUSAN,IPD Kuala Selangor,,,,,,86,-31799.001,15612.598,3.3152145,101.4164366,True
PDRM-032,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Batu Arang,PENGURUSAN,IPD Gombak,,,,,,32,-28604.329,14319.399,3.3035183,101.445182,True
PDRM-035,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Tasik Puteri,PENGURUSAN,IPD Gombak,,,,,,35,-25499.161,12189.135,3.2842516,101.4731207,True
PDRM-031,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kundang,PENGURUSAN,IPD Gombak,,,,,,31,-21098.429,11359.448,3.2767443,101.5127168,True
PDRM-090,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Alam Jaya,PENGURUSAN,IPD Kuala Selangor,,,,,,90,-28440.182,7198.555,3.2391217,101.4466553,True
PDRM-033,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kuang,PENGURUSAN,IPD Gombak,,,,,,33,-16495.642,9161.682,3.2568631,101.5541283,True
PDRM-158,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Pelong,PENGURUSAN,IPD Sungai Buloh,,,,,,158,-19055.505,4572.324,3.2153633,101.53109,True
PDRM-161,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Saujana Utama,PENGURUSAN,IPD Sungai Buloh,,,,,,161,-24645.913,3353.188,3.204344,101.4807909,True
PDRM-016,PDRM,IPD,DAERAH,IPD Sungai Buloh,PENGURUSAN,IPD Sungai Buloh,,,,"Jalan Besar, 47000 Sungai Buloh, Selangor",03-61561222,16,-14964.721,2165.337,3.1935902,101.5678919,True
PDRM-157,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Daerah Sungai Buloh,PENGURUSAN,IPD Sungai Buloh,,,,,,157,-14964.721,2165.337,3.1935902,101.5678919,True
PDRM-099,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti Bandar Sri Damansara,JPJKK,IPD Petaling Jaya,,,,,,99,-10174.415,2182.407,3.1937362,101.6109905,True
PDRM-030,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Desa Jaya,PENGURUSAN,IPD Gombak,,,,,,30,-8721.723,5302.427,3.2219486,101.6240668,True
